,Unnamed: 0,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,ict_index_per_90,ict_index_value,bps_per_90,value_bps,position,teamName,statusFull,description,zScore_form,p-form,form-cat,zScore_cost,p-cost,cost-cat,zScore_vsea,p-vsea,vsea-cat,zScore_vbps,p-vbps,vbps-cat,zScore_sbp,p-sbp,sbp-cat,zScore_ictval,p-ictval,ictval-cat,zScore_ict,p-ict,ict-cat,zScore_bps,p-bps,bps-cat,zScore_gpts,p-gpts,gpts-cat,strength,zScore_str,p-str,str-cat,class,kMeansClass,pcaKMeansClass,kMeans-cat,pcaKMeans-cat
0,2,0.0,100.0,153256,0,0,-1,1,0,3,0.0,0.5,0,Mohamed,0.0,3,False,International Duty - Unknown return date,2023-12-30T22:30:09.113694Z,4.4,153256.jpg,4.0,Elneny,0.1,False,,i,Arsenal,3,4,12782,20,18410,294,0.0,0.9,M.Elneny,1,0,1,0,0,0,0,0,0,0,0,0,12,1.8,0.5,2.0,0.4,0,0.0,0.0,0.0,0.0,478,219,452,221,424,210,475,217,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,495,291,555,200,52,30,450,148,0.0,0.0,0.4,0.01,12.0,0.27,Midfielder,Arsenal,inj,"[M.Elneny, Arsenal]",0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.1772430925740319,0.5703412757565366,silver,1.252709429894208,0.8948442635485496,gold,0.04632,0.0,0.5,bronze,0,2,0,gold,gold
1,3,0.0,0.0,438098,0,0,-1,1,0,3,0.0,0.0,0,Fábio,0.0,4,False,Groin Injury - Expected back 20 Jan,2023-12-07T12:00:08.489004Z,5.4,438098.jpg,2.6,Ferreira Vieira,0.1,False,,i,Arsenal,3,21,11460,5,18423,82,0.0,3.9,Fábio Vieira,236,1,3,1,2,0,0,0,0,1,0,0,62,79.4,63.6,77.0,21.9,2,1.2,0.35,1.55,1.48,338,146,277,152,212,118,320,145,5.0,,,,4.0,,0.46,0.0,0.13,0.59,0.56,0.76,125,79,744,323,213,95,437,143,0.76,0.38,2.74,0.41,7.75,1.15,Midfielder,Arsenal,inj,"[Fábio Vieira, Arsenal]",0.0,0.5,bronze,0.3421747501654046,0.6338903069765087,silver,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.1281012777337295,0.5509655875522546,silver,0.01523,0.0,0.5,bronze,0,2,0,gold,gold
2,4,100.0,100.0,226597,0,0,0,0,1,2,4.0,4.0,1,Gabriel,3.5,5,False,,2023-09-30T23:00:07.672676Z,5.0,226597.jpg,3.2,dos Santos Magalhães,17.5,False,,a,Arsenal,3,58,1404429,39588,2544485,26894,0.7,11.6,Gabriel,1464,1,0,5,17,0,0,0,1,0,0,4,296,322.2,74.9,112.0,51.0,16,1.12,0.34,1.46,14.79,89,31,245,71,166,26,163,41,,,,,,,0.07,0.0,0.02,0.09,0.91,1.05,194,22,65,14,120,31,19,7,0.98,0.31,2.83,1.02,16.67,6.0,Defender,Arsenal,avail,"[Gabriel, Arsenal]",0.9118057536771872,0.8190645094976107,gold,0.0,0.5,bronze,1.252683262571708,0.8948395002099998,gold,1.4602301621620308,0.9278865858081022,gold,1.7787313338396549,0.962358090245104,gold,0.3420909411513134,0.6338587727159073,silver,0.0,0.5,bronze,1.0008168508479518,0.8415423193331397,gold,0.6100762000882204,0.7290943342182588,silver,0.2383,0.5900087166662235,0.7224075971805952,silver,1,3,2,silver,bronze
3,5,100.0,100.0,219847,0,0,-4,4,0,3,3.8,3.8,2,Kai,3.3,6,False,,2023-12-23T20:00:08.458889Z,7.1,219847.jpg,2.7,Havertz,1.6,False,,a,Arsenal,3,52,88361,2976,390694,2452,0.5,7.3,Havertz,1168,4,1,4,14,0,0,0,5,0,0,0,152,219.4,222.0,278.0,72.0,13,4.21,1.1,5.31,10.15,178,73,91,69,65,40,89,63,,,,,3.0,,0.32,0.0,0.08,0.4,0.78,1.08,30,17,76,40,191,86,152,50,1.0,0.31,3.79,1.01,8.0,2.14,Midfielder,Arsenal,avail,"[Havertz, Arsenal]",0.7855676851373958,0.7839395988146818,silver,1.9054657406583573,0.9716402216519188,gold,0.2501852820290473,0.5987779666765266,silver,0.0,0.5,bronze,0.0,0.5,bronze,0.3249099532577807,0.6273753881816557,silver,0.366017401440278,0.6428239546206382,silver,0.0,0.5,bronze,0.208430431459478,0.5825535514039248,silver,0.12441,0.0,0.5,bronze,0,2,0,gold,gold
4,6,100.0,100.0,205651,0,0,0,0,1,4,4.8,4.8,1,Gabriel,4.3,8,False,,2023-10-24T23:30:07.618920Z,8.0,205651.jpg,3.2,Fernando de Jesus,5.5,False,,a,Arsenal,3,48,962703,18698,733511,38290,0.5,6.0,G.Jesus,934,3,2,5,11,0,0,0,4,0,0,8,153,216.6,233.9,500.0,95.0,11,4.75,1.43,6.18,9.1,180,18,86,7,15,8,45,11,,,,,,,0.46,0.0,0.14,0.6,0.88,1.06,13,4,43,7,132,21,72,13,1.06,0.48,6.33,1.19,10.73,2.01,Forward,Arsenal,avail,"[G.Jesus, Arsenal]",1.4167580278363523,0.9217231575228292,gold,2.733090382684039,0.9968628443902308,platin,0.0,0.5,bronze,0.0,0.5,bronze,0.240437367661116,0.5950043937673858,silver,0.6341677353413684,0.7370143192539556,silver,1.664307916499009,0.9519745444049604,gold,0.0,0.5,bronze,0.6100762000882204,0.7290943342182588,silver,0.23644,0.5782909095719602,0.7184661346524882,silver,1,0,1,bronze,silver
5,7,100.0,100.0,85955,0,0,-2,2,0,3,0.5,0.5,0,Jorge Luiz,0.0,9,False,,2023-12-18T00:00:09.353001Z,5.3,85955.jpg,1.4,Frello Filho,0.2,False,,a,Arsenal,3,15,8965,59,18580,206,0.0,2.8,Jorginho,383,0,0,1,6,0,0,0,1,0,0,0,66,50.6,64.7,9.0,12.4,4,0.09,0.3,0.39,4.68,374,163,271,149,396,201,370,167,,,,,,,0.02,0.0,0.07,0.09,1.1,1.41,131,82,735,316,375,167,344,107,0.94,0.23,1.13,0.23,6.0,1.25,Midfielder,Arsenal,avail,"[Jorginho, Arsenal]",0.0,0.5,bronze,0.2502164566069951,0.5987900202863148,silver,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.00811,0.0,0.5,bronze,0,2,0,gold,gold
6,8,,,440854,0,0,-2,2,0,2,1.0,1.0,1,Jakub,0.5,10,False,,,4.3,440854.jpg,1.6,Kiwior,0.1,False,,a,Arsenal,3,13,4823,127,9235,155,0.1,3.0,Kiwior,292,0,0,1,6,0,0,0,0,0,0,0,64,52.0,12.6,18.0,8.4,4,0.37,0.08,0.45,1.92,373,143,395,144,359,127,402,144,,,,,,,0.11,0.0,0.02,0.13,0.59,1.85,603,150,331,113,346,123,436,169,1.23,0.31,1.05,0.2,8.0,1.49,Defender,Arsenal,avail,"[Kiwior, Arsenal]",0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.0,0.5,bronze,0,2,0,gold,gold
7,10,100.0,100.0,444145,0,0,-3,3,0,3,4.0,4.0,5,Gabriel,3.5,12,False,,2023-12-12T17:30:08.345180Z,7.7,444145.jpg,3.2,Martinelli Silva,5.4,False,,a,Arsenal,3,57,930591,9117,1800256,13824,0.5,7.4,Martinelli,1285,2,3,5,17,0,0,0,1,0,0,0,210,239.0,457.4,458.0,114.9,17,2.48,2.86,5.34,10.67,163,70,20,14,22,10,30,19,4.0,,3.0,,,,0.17,0.0,0.2,0.37,0.75,1.19,19,12,66,36,131,61,73,22,1.19,0.35,6.38,1.49,11.67,2.73,Midfielder,Arsenal,avail,"[Martinelli, Arsenal]",0.9118057536771872,0.8190645094976107,gold,2.457215502008812,0.9929990667501514,platin,0.2734991885532954,0.6077652419937147,silver,0.0,0.5,bronze,0.2276182512762949,0.5900284850468716,silver,1.149597372147348,0.8748451294885771,gold,1.68986481640174,0.9544730899713376,gold,0.1190462317109926,0.5473806357128953,silver,0.6100762000882204,0.7290943342182588,silver,0.24097,0.6068294397531495,0.7280179457222447,silver,1,0,1,bronze,silver
8,11,100.0,100.0,205533,0,0,-2,2,1,4,1.8,1.8,2,Eddie,1.3,13,False,,2023-11-09T08:30:08.250179Z,5.3,205533.jpg,3.2,Nketiah,4.5,False,,a,Arsenal,3,60,1539714,1765,1519151,19019,0.2,11.3,Nketiah,958,5,3,6,8,0,0,0,3,0,0,5,180,207.6,108.9,348.0,65.4,10,4.16,0.32,4.48,9.18,193,20,186,29,41,18,111,21,,,,,,,0.39,0.0,0.03,0.42,0.86,0.75,144,37,248,35,124,18,85,15,0.94,0.56,3.44,1.23,9.74,3.49,Forward,Arsenal,avail,"[Nketiah, Arsenal]",0.0,0.5,bronze,0.2502164566069951,0.5987900202863148,silver,1.1827415429989645,0.8815442027530058,gold,0.2800979009447424,0.6102988024594134,silver,0.1122462038129044,0.5446859023631797,silver,0.7028916869154991,0.7589383738926384,silver,0.1871191021211614,0.5742163743260288,silver,0.0,0.5,bronze,0.6100762000882204,0.7290943342182588,silver,0.10772,0.0,0.5,bronze,0,2,0,gold,gold
9,12,100.0,100.0,184029,0,0,-1,1,1,3,4.2,4.2,2,Martin,3.7,14,False,,2023-11-04T21:00:08.152623Z,8.4,184029.jpg,4.9,Ødegaard,15.8,False,,a,Arsenal,3,83,1588188,71930,2427015,34213,0.4,9.9,Ødegaard,1509,4,4,6,17,0,0,0,1,0,0,12,314,407.2,667.2,384.0,145.8,17,3.99,4.2,8.19,14.9,49,18,6,4,35,21,13,9,3.0,,1.0,,2.0,,0.24,0.0,0.25,0.49,0.89,1.01,10,6,64,35,21,15,24,8,1.01,0.36,8.58,1.74,19.18,3.88,Midfielder,Arsenal,avail,"[Ødegaard, Arsenal]",1.0380438222169788,0.8503751731700906,gold,3.1009235569176754,0.9990354095648016,platin,0.8563468516594934,0.8040970233407702,gold,0.4634650650382652,0.6784844749022393,silver,1.5608063552976954,0.9407152762558452,gold,1.5791220694856642,0.9428459697625398,gold,2.8143684121219006,0.9975563409006802,platin,1.4434657016547048,0.925555336212592,gold,1.9756718134259443,0.9759040203541904,platin,0.48047,2.11565460054672,0.982812902783806,platin,3,0,1,bronze,silver
10,13,0.0,0.0,167199,0,0,-2,2,0,3,0.0,0.0,0,Thomas,0.0,15,False,Muscle injury - Expected back 20 Jan,2023-10-25T12:00:07.465521Z,4.8,167199.jpg,1.8,Partey,0.1,False,,i,Arsenal,3,7,8568,10,37076,79,0.0,1.5,Thomas,250,0,0,1,2,0,0,0,0,0,0,0,58,55.8,60.0,15.0,13.1,3,0.07,0.21,0.28,2.53,366,158,283,154,377,189,362,162,,,,,,,0.03,0.0,0.08,0.11,0.91,0.72,280,182,692,284,323,137,362,116,1.08,0.36,3.27,0.27,14.5,1.21,Midfielder,Arsenal,inj,"[Thomas, Arsenal]",0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.1002256424518763,0.5399174056118354,silver,0.6181284021425113,0.7317546492986712,silver,0.0,0.5,bronze,0.02327,0.0,0.5,bronze,0,2,0,gold,gold
11,15,,,225321,0,0,-4,4,0,1,0.5,0.5,0,Aaron,0.0,17,False,,,4.6,225321.jpg,3.4,Ramsdale,6.2,False,,a,Arsenal,3,17,261973,768,1431788,6904,0.0,3.7,Ramsdale,450,0,0,2,4,0,0,0,0,0,6,0,77,55.8,0.0,0.0,5.6,5,0.0,0.01,0.01,4.84,365,28,716,82,712,78,421,28,,,,,,,0.0,1.2,0.0,0.0,0.97,0.8,341,14,675,84,101,16,58,11,1.0,0.4,1.12,0.12,15.4,1.67,Goalkeeper,Arsenal,avail,"[Ramsdale, Arsenal]",0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.3301711823548642,0.6293646899231606,silver,0.0,0.5,bronze,0.0,0.5,bronze,0.776847113587164,0.7813755117065135,silver,0.7707345075397171,0.7795678431280596,silver,0.06083,0.0,0.5,bronze,0,2,0,gold,gold
12,17,100.0,100.0,223340,0,0,5,-5,2,3,3.8,3.8,7,Bukayo,3.3,19,True,,2023-11-09T08:30:08.290130Z,9.0,223340.jpg,5.6,Saka,58.8,False,,a,Arsenal,3,107,3965111,196015,3895953,59820,0.4,11.9,Saka,1663,6,8,6,20,0,0,0,2,0,0,11,388,557.4,751.7,681.0,199.2,19,6.81,6.41,13.22,15.89,10,4,5,3,7,4,2,2,1.0,,,,1.0,,0.37,0.0,0.35,0.72,0.86,1.08,6,4,78,41,10,8,1,1,1.03,0.32,10.48,2.21,21.0,4.43,Midfielder,Arsenal,avail,"[Saka, Arsenal]",0.7855676851373958,0.7839395988146818,silver,3.652673318268129,0.9998702378431182,platin,1.322624982144452,0.9070199389464684,gold,0.7220597836316949,0.7648711387881804,silver,7.073026400770793,0.999999999999242,platin,2.3866285004816987,0.991498168061402,platin,3.785530608425676,0.999923309523588,platin,1.7644302070205578,0.9611702119032032,gold,2.537975889506183,0.9944252167279706,platin,0.77844,3.992834697255114,0.999967355958126,platin,3,1,3,platin,platin
13,18,100.0,100.0,462424,0,0,6,-6,0,2,2.7,2.7,0,William,2.2,20,False,,2023-10-09T08:30:07.861646Z,5.6,462424.jpg,3.8,Saliba,36.5,False,,a,Arsenal,3,75,3306399,59613,1698363,65035,0.4,13.4,Saliba,1800,1,1,7,20,0,0,0,2,0,0,6,376,371.6,89.2,65.0,52.7,20,1.17,0.59,1.76,16.84,57,16,223,62,232,60,153,37,,,,,,,0.06,0.0,0.03,0.09,0.84,1.0,97,8,170,53,70,13,7,2,1.0,0.35,2.64,0.94,19.1,6.82,Defender,Arsenal,avail,"[Saliba, Arsenal]",0.0912583081685439,0.5363563275171386,silver,0.526091337282222,0.7005876263826684,silver,1.672333580008171,0.9527707192514396,gold,1.8457713789740533,0.9675372959974068,gold,4.214363446955675,0.9999874758176824,platin,0.204643038003052,0.5810744862679108,silver,0.0,0.5,bronze,1.4293573717485135,0.9235492280050284,gold,1.0920511224427107,0.8625946843117787,gold,0.35879,1.349083220315565,0.9113448813795844,gold,2,3,1,silver,silver
14,19,100.0,100.0,209289,0,0,-2,2,0,3,0.8,0.8,0,Emile,0.3,22,False,,2023-11-02T11:00:07.493976Z,5.3,209289.jpg,1.8,Smith Rowe,0.1,False,,a,Arsenal,3,11,5044,56,16272,98,0.1,2.1,Smith Rowe,116,0,1,1,0,0,0,0,0,0,0,0,30,44.0,18.5,65.0,12.6,1,0.97,0.06,1.03,0.98,389,174,376,192,231,126,369,166,,,,,,,0.75,0.0,0.05,0.8,0.76,0.0,145,91,368,171,328,140,420,137,0.78,0.78,2.1,0.24,5.0,0.57,Midfielder,Arsenal,avail,"[Smith Rowe, Arsenal]",0.0,0.5,bronze,0.2502164566069951,0.5987900202863148,silver,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.00811,0.0,0.5,bronze,0,2,0,gold,gold
15,21,0.0,0.0,223723,0,0,0,0,1,2,0.0,0.0,1,Takehiro,0.2,25,False,International Duty - Unknown return date,2023-12-02T18:30:08.259180Z,4.5,223723.jpg,3.0,Tomiyasu,0.3,False,,i,Arsenal,3,39,79342,243,85351,1039,0.0,8.7,Tomiyasu,628,1,1,3,5,0,0,0,0,1,0,3,147,139.6,67.8,57.0,26.2,5,0.48,0.41,0.89,7.25,268,105,263,83,251,72,291,98,,,,,,,0.07,0.0,0.06,0.13,1.04,0.72,386,73,388,139,146,40,289,112,0.72,0.43,2.02,0.58,11.54,3.33,Defender,Arsenal,inj,"[Tomiyasu, Arsenal]",0.0,0.5,bronze,0.0,0.5,bronze,0.5765799733685182,0.7178883844913658,silver,0.2048703464448355,0.5811632880468403,silver,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0961201956134315,0.5382874441043671,silver,0.4494178926367232,0.6734348868350817,silver,0.04299,0.0,0.5,bronze,0,2,0,gold,gold
16,22,100.0,100.0,116216,0,0,-5,5,2,3,1.7,1.7,1,Leandro,1.2,26,False,,2023-10-09T08:30:07.911344Z,6.5,116216.jpg,2.9,Trossard,1.7,False,,a,Arsenal,3,47,295351,795,675476,4541,0.2,7.2,Trossard,657,3,1,2,6,0,0,0,0,0,0,6,129,182.2,200.8,293.0,67.5,6,3.06,1.54,4.6,6.2,226,92,104,75,62,38,106,69,2.0,,,,,,0.42,0.0,0.21,0.63,0.85,0.82,46,27,274,122,160,74,146,47,0.82,0.27,4.22,1.04,8.44,2.08,Midfielder,Arsenal,avail,"[Trossard, Arsenal]",0.0,0.5,bronze,1.3537159793079034,0.9120864959273628,gold,0.2268713755047995,0.589738119623531,silver,0.0,0.5,bronze,0.0,0.5,bronze,0.3764529169383787,0.6467098938913131,silver,0.5858067406037639,0.720997303252376,silver,0.0,0.5,bronze,0.3690887389109747,0.6439692088217668,silver,0.09433,0.0,0.5,bronze,0,2,0,gold,gold
17,23,100.0,100.0,198869,0,0,1,-1,2,2,2.8,2.8,1,Benjamin,2.3,29,False,,2023-11-12T02:00:08.673390Z,5.6,198869.jpg,3.6,White,10.9,False,,a,Arsenal,3,69,1341944,18908,1244541,25136,0.4,12.3,White,1475,1,2,6,19,0,0,0,4,0,0,7,343,339.8,272.8,103.0,71.5,17,0.71,1.91,2.62,14.58,75,24,62,12,176,33,91,12,,,,,,,0.04,0.0,0.12,0.16,0.89,1.16,93,7,154,44,82,16,35,12,1.04,0.37,3.76,1.28,18.42,6.25,Defender,Arsenal,avail,"[White, Arsenal]",0.1543773424384393,0.5613438911986822,silver,0.526091337282222,0.7005876263826684,silver,1.4158806082414437,0.921594768279231,gold,1.5777732160681353,0.9426911404517256,gold,0.9326696524414588,0.8245047207788614,gold,0.7887966263831624,0.7848845591970423,silver,0.3506832614986393,0.637087007783479,silver,1.3094365675458872,0.9048067442552284,gold,0.931392814991214,0.8241747969173454,gold,0.25873,0.7187155978145017,0.7638419146122342,silver,1,3,2,silver,bronze
18,25,75.0,,206325,0,0,2,-2,2,2,2.0,2.7,0,Oleksandr,2.2,31,False,Calf injury - 75% chance of playing,2023-12-31T22:00:10.846948Z,5.2,206325.jpg,3.9,Zinchenko,12.9,False,,d,Arsenal,3,71,1446147,16938,842931,104437,0.4,13.7,Zinchenko,1202,1,1,6,11,0,0,0,2,0,0,11,320,270.6,310.9,96.0,67.7,14,0.43,2.15,2.58,10.0,129,50,52,8,185,37,104,17,,,,,,,0.03,0.0,0.16,0.19,0.75,0.82,158,16,169,52,57,11,29,10,1.05,0.45,3.76,1.3,18.39,6.37,Defender,Arsenal,doubt,"[Zinchenko, Arsenal]",0.0912583081685439,0.5363563275171386,silver,0.1582581630485864,0.5628733131637635,silver,1.7422752995809143,0.9592698583016128,gold,1.6341938819430657,0.9488909266063188,gold,1.189051980137882,0.8827903935394674,gold,0.8231586021702277,0.7947910964525035,silver,0.3506832614986393,0.637087007783479,silver,1.3041459438310654,0.9039080867205482,gold,1.1723802761684594,0.8794777926360465,gold,0.27423,0.8163639902666949,0.7928540071721453,silver,1,3,2,silver,bronze
19,26,100.0,100.0,154561,0,0,-1,1,0,1,3.5,3.5,1,David,3.0,113,False,,2023-11-13T01:00:08.923385Z,4.9,154561.jpg,3.7,Raya Martin,6.1,False,,a,Arsenal,3,55,722614,23604,629142,18119,0.6,11.2,Raya,1350,0,0,5,16,0,1,0,0,0,23,2,253,224.8,0.0,0.0,22.4,15,0.0,0.02,0.02,12.0,173,22,730,84,727,82,317,22,,,,,,,0.0,1.53,0.0,0.0,0.8,1.07,226,8,91,10,73,8,59,12,1.0,0.33,1.49,0.46,17.0,5.2,Goalkeeper,Arsenal,avail,"[Raya, Arsenal]",0.596210582327709,0.724482721489309,silver,0.0,0.5,bronze,1.1594276364747162,0.8768590414288178,gold,1.0840923896624968,0.8608380815974775,gold,0.3173520659700429,0.6245117627332832,silver,0.0,0.5,bronze,0.0,0.5,bronze,1.0590137117109908,0.8552032324215807,gold,1.0117219687169627,0.8441644957722496,gold,0.16935,0.1556308676611432,0.5618380037390853,silver,1,3,2,silver,bronze
20,27,100.0,100.0,204480,0,0,-1,1,1,3,3.5,3.5,2,Declan,3.0,540,False,,2023-09-24T22:30:08.321972Z,5.4,204480.jpg,3.5,Rice,5.2,False,,a,Arsenal,3,69,477642,4428,623842,16133,0.6,12.8,Rice,1743,3,1,7,19,0,0,0,2,0,0,7,356,451.6,273.1,170.0,89.5,20,1.55,1.19,2.74,16.13,31,11,61,47,121,77,59,42,,,4.0,,,,0.08,0.0,0.06,0.14,0.83,0.98,119,73,95,51,94,48,77,24,1.03,0.36,4.47,1.66,18.15,6.72,Midfielder,Arsenal,avail,"[Rice, Arsenal]",0.596210582327709,0.724482721489309,silver,0.3421747501654046,0.6338903069765087,silver,1.5324501408626834,0.9372943038376688,gold,1.7987541574116117,0.9639712110741296,gold,0.2019800185066526,0.5800338274172888,silver,1.441674166337403,0.9253028426245514,gold,0.7135912401174185,0.7622600120691367,silver,1.261820954112491,0.8964933898014997,gold,0.8510636612654656,0.802633004952904,gold,0.28311,0.872307069297371,0.8084795589505438,gold,2,3,2,silver,bronze
21,28,100.0,100.0,200641,0,0,-2,2,0,3,1.0,1.0,1,Reiss,0.5,578,False,,2023-08-07T15:30:06.067296Z,4.8,200641.jpg,0.9,Nelson,0.0,False,,a,Arsenal,3,8,6255,24,7495,51,0.1,1.7,Nelson,102,0,0,0,0,0,0,0,1,0,0,0,26,20.6,41.2,13.0,7.4,0,0.04,0.33,0.37,1.71,422,190,325,172,386,194,407,187,,,,,,,0.04,0.0,0.29,0.33,1.51,0.0,287,187,341,156,480,225,545,196,0.0,0.0,0.82,0.15,2.89,0.54,Midfielder,Arsenal,avail,"[Nelson, Arsenal]",0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.0,0.5,bronze,0,2,0,gold,gold
22,36,100.0,100.0,106468,0,0,0,0,1,2,2.3,2.8,1,Alexandre,2.3,32,False,,2023-09-24T22:30:06.810510Z,5.0,106468.jpg,2.1,Moreno Lopera,1.2,False,,a,Aston Villa,7,15,162095,12344,44840,7391,0.5,3.0,Alex Moreno,265,1,0,0,7,0,0,0,0,0,0,2,47,82.6,57.9,91.0,23.1,2,0.85,0.61,1.46,2.96,332,127,286,95,190,40,314,112,,,,,,,0.29,0.0,0.21,0.5,1.01,2.38,172,20,149,43,276,97,170,66,0.68,0.0,3.3,0.46,7.0,0.98,Defender,Aston Villa,avail,"[Alex Moreno, Aston Villa]",0.1543773424384393,0.5613438911986822,silver,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.1155597823935148,0.5459992808526212,silver,0.0,0.5,bronze,0.0,0.5,bronze,0.00874,0.0,0.5,bronze,0,2,0,gold,gold
23,37,100.0,100.0,215711,1,-1,2,-2,1,3,4.7,5.2,8,Leon,4.7,34,False,,2023-12-15T09:30:09.140206Z,5.7,215711.jpg,4.1,Bailey,3.7,False,,a,Aston Villa,7,74,632375,44092,352270,14745,0.8,13.0,Bailey,859,6,5,3,13,0,0,0,3,0,0,5,224,342.8,265.9,307.0,91.5,8,2.94,3.11,6.05,13.21,72,25,67,51,54,32,51,36,4.0,,,,,,0.31,0.0,0.33,0.64,1.38,1.36,84,53,30,17,47,28,98,30,0.84,0.31,5.08,1.61,12.72,4.02,Midfielder,Aston Villa,avail,"[Bailey, Aston Villa]",1.6692341649159352,0.9524645091408054,gold,0.6180496308406315,0.7317286883563104,silver,1.579077953911179,0.942840911131372,gold,0.5292891752256835,0.7016975681974872,silver,0.0096932727343352,0.5038669957722389,silver,1.35576922686974,0.9124136973158854,gold,1.025385418930736,0.8474093172841523,gold,0.3042180617297541,0.6195191173505213,silver,1.333038583619956,0.9087404288519074,gold,0.27288,0.8078591302789235,0.7904141594928096,silver,1,0,2,bronze,bronze
24,39,100.0,100.0,199796,0,0,2,-2,1,2,0.7,1.2,0,Matty,0.7,36,False,,2023-12-22T23:30:09.762009Z,4.7,199796.jpg,2.9,Cash,17.9,False,,a,Aston Villa,7,50,3682971,15908,2722906,66502,0.1,10.6,Cash,1262,2,1,3,18,1,0,0,5,0,0,4,231,292.6,135.4,284.0,71.2,15,3.72,1.62,5.34,17.08,114,43,158,34,63,1,92,13,,,,,,,0.27,0.0,0.12,0.39,1.22,1.28,317,39,312,106,154,42,17,5,1.07,0.21,4.19,1.51,13.82,5.0,Defender,Aston Villa,avail,"[Cash, Aston Villa]",0.0,0.5,bronze,0.0,0.5,bronze,1.0195441973292287,0.8460276591246013,gold,0.9900579465376133,0.8389271016576261,gold,1.8300077993789396,0.9663756137066226,gold,1.1839593479344133,0.8817854223325376,gold,0.5704726006621257,0.7158213997376052,silver,0.498207597939885,0.6908311361401314,silver,0.3690887389109747,0.6439692088217668,silver,0.20931,0.4073747232991853,0.6581336055789881,silver,1,3,2,silver,bronze
25,43,100.0,100.0,151589,0,0,-1,1,1,3,2.7,3.2,1,Leander,2.7,40,False,,2023-08-10T15:00:04.947940Z,4.9,151589.jpg,2.5,Dendoncker,0.0,False,,a,Aston Villa,7,20,3543,94,3218,299,0.6,4.1,Dendoncker,118,1,1,0,3,0,0,0,0,0,0,3,64,59.2,3.9,37.0,10.0,1,0.73,0.01,0.74,1.58,360,156,422,211,291,154,391,179,,,,,,,0.56,0.0,0.01,0.57,1.21,2.29,225,145,120,61,229,98,555,205,0.76,0.0,1.25,0.2,8.38,1.37,Midfielder,Aston Villa,avail,"[Dendoncker, Aston Villa]",0.4068534795180221,0.6579421973725431,silver,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0477721240079809,0.5190510734993196,silver,0.01473,0.0,0.5,bronze,0,2,0,gold,gold
